Time,Dist_cm,Gap_mm,Label
0.014,31.59,30.35,0
0.045,31.37,30.27,0
0.095,31.38,30.0,0
0.128,31.26,29.66,0
0.157,31.34,29.41,0
0.186,31.19,29.1,0
0.218,31.28,29.04,0
0.255,31.32,28.78,0
0.283,31.41,28.53,0
0.311,31.67,28.71,0
0.342,31.93,29.11,0
0.377,32.07,29.35,0
0.403,32.03,29.5,0
0.439,32.11,29.61,0
0.504,32.04,29.63,0
0.531,32.1,29.84,0
0.561,32.04,29.61,0
0.59,32.03,29.72,0
0.62,31.74,29.95,0
0.654,31.75,30.18,0
0.682,31.41,30.79,0
0.713,31.2,31.45,0
0.746,30.94,31.97,0
0.779,31.06,33.19,0
0.805,31.35,34.14,0
0.822,31.56,35.14,0
0.898,32.09,37.05,0
0.916,32.64,38.92,0
0.947,33.28,40.99,0
0.988,34.02,44.97,0
1.011,35.04,48.31,0
1.044,36.1,51.95,0
1.089,37.14,57.33,0
1.122,37.86,62.08,0
1.153,38.46,66.75,0
1.183,39.18,72.58,0
1.214,39.67,76.96,0
1.244,40.16,81.56,0
1.293,40.72,85.95,0
1.322,40.97,88.72,0
1.338,41.21,91.18,0
1.388,41.41,93.95,0
1.416,41.62,95.77,0
1.45,41.79,97.17,0
1.481,41.83,98.24,0
1.511,41.8,98.9,0
1.544,41.64,99.43,0
1.577,41.31,99.88,0
1.604,41.07,99.81,0
1.636,40.78,99.31,0
1.697,40.42,99.01,0
1.728,40.15,98.71,0
1.762,39.84,98.46,0
1.79,39.67,98.04,0
1.822,39.61,97.57,0
1.853,39.48,97.14,0
1.883,39.43,96.5,0
1.913,39.51,95.96,0
1.944,39.51,95.66,0
1.977,39.43,95.46,0
2.006,39.45,95.31,0
2.04,39.43,95.45,0
2.094,39.5,95.52,0
2.114,39.43,95.93,0
2.145,39.34,96.07,0
2.187,39.24,95.64,0
2.205,39.08,95.12,0
2.222,38.93,94.68,0
2.293,38.81,93.68,0
2.315,38.8,92.64,0
2.332,38.8,91.55,0
2.379,38.86,89.62,0
2.41,38.89,88.26,0
2.445,38.92,86.96,0
2.492,39.03,83.56,0
2.52,39.15,80.92,0
2.55,39.32,77.95,0
2.587,39.83,68.48,0
2.614,40.39,59.85,0
2.645,40.94,51.56,0
2.681,41.38,39.67,0
2.705,41.82,29.95,0
2.736,42.24,19.87,0
2.803,42.69,10.11,0
2.831,43.04,6.88,0
2.864,43.45,3.6,0
2.894,43.68,0.0,0
2.924,43.61,0.0,0
2.955,43.48,0.0,0
2.986,43.37,0.95,0
3.019,43.34,2.17,0
3.048,43.3,3.42,0
3.082,43.2,7.42,0
3.111,43.07,11.27,0
3.144,43.0,15.13,0
3.179,42.82,21.75,0
3.206,42.74,27.58,0
3.236,42.62,33.07,0
3.312,42.47,41.71,0
3.329,42.27,47.26,0
3.361,42.08,52.85,0
3.393,41.83,59.15,0
3.425,41.65,62.6,0
3.458,41.45,65.81,0
3.487,41.25,69.55,0
3.52,41.14,70.1,0
3.549,41.07,71.07,0
3.581,41.04,71.17,0
3.614,41.03,70.58,0
3.643,41.07,70.15,0
3.696,41.3,65.83,0
3.725,41.58,61.16,0
3.753,41.85,56.56,0
3.788,42.37,48.71,0
3.814,42.83,41.63,0
3.846,43.34,34.7,0
3.882,43.88,25.05,0
3.905,44.31,19.42,0
3.936,44.76,13.62,0
4.001,45.12,7.78,0
4.03,45.31,5.12,0
4.061,45.44,2.66,0
4.092,45.86,0.47,0
4.124,45.99,1.1,0
4.155,46.3,1.81,0
4.187,46.01,9.67,0
4.222,45.67,17.59,0
4.253,45.4,25.62,0
4.285,45.03,38.04,0
4.31,44.72,50.19,0
4.344,44.34,62.18,0
4.377,43.94,78.54,0
4.402,43.27,87.68,0
4.434,42.65,96.56,0
4.513,41.91,107.36,0
4.545,41.71,113.67,0
4.576,41.52,119.65,0
4.606,41.38,125.12,0
4.636,41.33,126.09,0
4.668,41.28,127.16,0
4.698,41.32,125.82,0
4.728,41.41,122.46,0
4.762,41.5,119.26,0
4.792,41.59,110.57,0
4.823,41.67,102.71,0
4.854,41.81,94.76,0
4.891,42.06,79.81,0
4.916,42.2,67.5,0
4.947,42.38,55.29,0
4.987,42.65,39.76,0
5.01,42.85,29.86,0
5.041,43.0,19.64,0
5.085,43.08,9.52,0
5.103,43.2,6.4,0
5.134,43.35,3.25,0
5.201,43.45,0.0,0
5.229,43.45,0.0,0
5.261,43.5,0.0,0
5.291,43.56,0.0,0
5.321,43.52,0.0,0
5.355,43.53,0.0,0
5.386,43.55,0.0,0
5.418,43.66,0.0,0
5.446,43.7,0.0,0
5.483,43.6,6.61,0
5.509,43.54,13.43,0
5.541,43.43,20.15,0
5.581,43.15,35.09,0
5.602,42.82,50.25,0
5.633,42.49,65.32,0
5.712,42.19,82.07,0
5.742,41.9,92.16,0
5.775,41.59,101.89,0
5.805,41.42,113.19,0
5.835,41.41,116.21,0
5.869,41.36,119.02,0
5.899,41.37,123.34,0
5.929,41.61,126.13,0
5.96,41.82,129.23,0
5.992,42.04,133.0,0
6.009,42.23,135.43,0
6.039,42.41,137.97,0
6.093,42.69,136.66,0
6.116,42.79,134.02,0
6.148,42.87,131.33,0
6.187,43.34,128.52,0
6.209,43.85,124.83,0
6.241,44.24,120.99,0
6.283,44.79,123.56,0
6.302,45.26,129.11,0
6.333,45.68,134.49,0
6.379,45.99,142.09,0
6.395,46.17,149.92,0
6.427,46.36,158.2,0
6.522,46.84,166.28,0
6.551,47.01,167.49,0
6.566,47.09,169.52,0
6.597,47.32,166.3,0
6.629,47.48,161.12,0
6.66,47.7,155.67,0
6.691,48.09,147.34,0
6.723,48.6,139.35,0
6.754,49.18,132.07,0
6.785,49.93,124.55,0
6.816,50.42,122.65,0
6.847,50.84,120.91,0
6.912,50.99,123.11,0
6.944,51.05,127.68,0
6.969,51.04,132.15,0
7.0,50.69,141.1,0
7.032,50.25,150.56,0
7.063,49.79,159.09,0
7.095,49.06,162.67,0
7.126,48.13,161.75,0
7.157,47.18,160.89,0
7.186,46.02,158.47,0
7.221,45.14,150.73,0
7.249,44.32,142.41,0
7.291,43.38,132.96,0
7.313,42.82,127.72,0
7.346,42.23,122.68,0
7.387,41.8,117.84,0
7.405,41.59,114.5,0
7.437,41.46,111.62,0
7.487,41.48,108.88,0
7.516,41.68,108.44,0
7.546,41.88,108.34,0
7.577,42.44,108.37,0
7.61,43.03,108.75,0
7.64,43.64,109.38,0
7.693,44.38,110.64,0
7.719,44.96,112.27,0
7.75,45.53,113.53,0
7.787,46.13,112.12,0
7.811,46.65,110.74,0
7.845,47.15,109.23,0
