Time,Dist_cm,Gap_mm,Label
0.014,25.1,93.05,0
0.046,25.03,93.05,0
0.081,24.94,93.03,0
0.11,24.89,92.96,0
0.14,24.83,92.83,0
0.176,24.74,92.6,0
0.203,24.72,92.22,0
0.233,24.72,91.64,0
0.292,24.66,90.92,0
0.31,24.58,90.12,0
0.342,24.54,89.34,0
0.384,24.6,88.55,0
0.403,24.64,87.72,0
0.434,24.69,86.88,0
0.481,24.84,86.11,0
0.512,25.08,85.5,0
0.543,25.26,85.03,0
0.576,25.38,84.59,0
0.605,25.59,84.09,0
0.637,25.8,83.56,0
0.692,26.06,83.11,0
0.712,26.28,82.77,0
0.728,26.52,82.49,0
0.809,26.82,82.22,0
0.837,27.06,81.93,0
0.871,27.25,81.62,0
0.901,27.53,81.29,0
0.932,27.87,80.95,0
0.963,28.17,80.61,0
0.995,28.44,80.26,0
1.026,28.72,79.85,0
1.056,28.95,79.36,0
1.088,29.2,78.82,0
1.118,29.41,78.31,0
1.149,29.58,77.86,0
1.182,29.77,77.4,0
1.211,29.92,76.88,0
1.243,30.08,76.26,0
1.279,30.3,75.61,0
1.305,30.54,75.0,0
1.337,30.71,74.48,0
1.376,30.93,74.08,0
1.398,31.13,73.8,0
1.431,31.3,73.65,0
1.488,31.55,73.59,0
1.508,31.8,73.6,0
1.539,31.99,73.62,0
1.584,32.18,73.56,0
1.602,32.33,73.29,0
1.633,32.46,72.71,0
1.696,32.67,71.6,0
1.726,32.85,69.57,0
1.76,33.03,66.16,0
1.788,33.34,61.14,0
1.82,33.51,54.61,0
1.853,33.67,46.77,0
1.887,34.02,37.91,0
1.911,34.36,28.62,0
1.941,34.69,19.83,0
1.983,35.12,12.48,0
2.004,35.46,7.02,0
2.052,35.79,3.3,0
2.082,36.19,0.99,0
2.113,36.44,-0.16,0
2.146,36.76,-0.37,0
2.175,37.05,0.0,0
2.19,37.16,0.4,0
2.223,37.25,0.44,0
2.308,37.23,0.54,0
2.33,37.16,2.21,0
2.362,37.1,7.24,0
2.394,36.84,16.29,0
2.426,36.59,28.47,0
2.457,36.33,42.26,0
2.487,35.96,56.73,0
2.517,35.63,71.4,0
2.533,35.33,85.21,0
2.574,34.97,96.36,0
2.595,34.69,103.61,0
2.625,34.37,107.3,0
2.691,34.09,108.94,0
2.72,33.99,109.75,0
2.75,33.84,109.91,0
2.782,33.73,109.06,0
2.813,33.76,107.13,0
2.844,33.76,104.66,0
2.878,33.79,102.39,0
2.905,33.86,100.78,0
2.939,33.97,99.93,0
2.974,34.0,99.74,0
2.999,34.0,100.16,0
3.03,34.0,101.22,0
3.099,34.06,102.82,0
3.123,34.08,104.65,0
3.154,34.08,106.27,0
3.184,34.07,107.29,0
3.215,34.0,107.64,0
3.247,33.95,107.46,0
3.28,33.83,106.92,0
3.308,33.79,106.03,0
3.339,33.75,104.67,0
3.374,33.73,102.7,0
3.403,33.69,100.07,0
3.435,33.62,96.78,0
3.508,33.68,92.92,0
3.528,33.74,88.66,0
3.56,33.82,84.33,0
3.592,34.11,80.14,0
3.622,34.49,76.04,0
3.653,34.85,71.69,0
3.685,35.34,66.97,0
3.732,35.8,62.24,0
3.748,36.24,58.2,0
3.779,36.83,55.28,0
3.81,37.28,53.38,0
3.841,37.74,52.12,0
3.893,38.16,51.19,0
3.921,38.41,50.54,0
3.95,38.63,50.04,0
3.982,38.82,49.14,0
4.014,38.9,47.04,0
4.044,39.0,43.17,0
4.078,39.3,37.68,0
4.105,39.5,31.26,0
4.137,39.72,24.67,0
4.175,40.02,18.37,0
4.2,40.35,12.66,0
4.233,40.64,7.9,0
4.295,40.95,4.57,0
4.325,41.21,2.96,0
4.356,41.47,3.19,0
4.389,41.79,5.3,0
4.419,41.86,9.4,0
4.45,41.89,15.62,0
4.481,41.8,23.93,0
4.512,41.64,34.02,0
4.544,41.5,45.13,0
4.576,41.37,55.89,0
4.609,41.22,64.66,0
4.639,41.13,70.34,0
4.708,40.95,72.92,0
4.734,40.7,73.06,0
4.765,40.48,71.17,0
4.798,40.33,67.04,0
4.829,40.31,60.37,0
4.863,40.29,51.5,0
4.89,40.32,41.44,0
4.921,40.37,31.42,0
4.953,40.42,22.53,0
4.984,40.48,15.59,0
5.017,40.63,11.19,0
5.05,40.77,9.62,0
5.092,40.84,10.83,0
5.109,40.81,14.66,0
5.142,40.78,20.89,0
5.185,40.69,28.99,0
5.201,40.55,37.79,0
5.234,40.37,45.59,0
5.284,40.42,50.81,0
5.312,40.43,52.95,0
5.344,40.46,52.85,0
5.374,40.63,51.9,0
5.403,40.79,51.08,0
5.435,40.99,50.6,0
5.489,41.23,50.3,0
5.514,41.49,50.11,0
5.547,41.78,50.11,0
5.584,42.13,50.2,0
5.606,42.28,49.94,0
5.638,42.49,48.72,0
5.679,42.63,46.17,0
5.701,42.77,42.25,0
5.731,42.96,37.12,0
5.774,43.09,31.05,0
5.794,43.2,24.48,0
5.825,43.31,18.18,0
5.908,43.34,12.93,0
5.934,43.32,9.1,0
5.964,43.27,6.53,0
5.995,43.23,4.97,0
6.011,43.28,4.71,0
6.043,43.2,6.56,0
6.078,43.03,10.97,0
6.103,42.92,17.43,0
6.136,42.78,24.44,0
6.176,42.44,30.42,0
6.198,42.18,34.42,0
6.229,41.9,36.22,0
6.293,41.78,35.88,0
6.325,41.68,33.36,0
6.354,41.56,28.6,0
6.384,41.68,22.05,0
6.416,41.97,14.93,0
6.447,42.25,8.77,0
6.479,42.64,4.84,0
6.509,43.12,3.66,0
6.526,43.56,5.03,0
6.576,43.74,8.38,0
6.602,43.8,13.05,0
6.634,43.78,18.44,0
6.688,43.76,23.93,0
6.713,43.45,28.86,0
6.744,43.09,32.57,0
6.808,42.82,34.78,0
6.836,42.33,35.7,0
6.868,41.96,35.85,0
6.9,41.65,35.73,0
6.932,41.61,35.69,0
6.962,41.54,35.94,0
6.993,41.44,36.55,0
7.026,41.36,37.34,0
7.057,41.31,37.79,0
7.088,41.21,37.31,0
7.118,41.06,35.6,0
7.149,41.02,32.76,0
7.182,40.95,29.14,0
7.211,40.83,25.27,0
7.244,40.7,21.71,0
7.279,40.63,18.88,0
7.306,40.59,16.9,0
7.338,40.53,15.57,0
7.377,40.5,14.64,0
7.399,40.52,13.95,0
7.43,40.5,13.35,0
7.49,40.53,12.7,0
7.508,40.58,11.87,0
7.54,40.66,10.85,0
7.585,40.74,9.75,0
7.602,40.75,8.6,0
7.634,40.77,7.35,0
7.681,40.79,5.97,0
7.714,40.76,4.55,0
7.745,40.75,3.3,0
7.774,40.89,2.32,0
7.79,41.01,1.57,0
7.821,41.11,0.98,0
7.919,41.14,0.55,0
7.945,41.15,0.33,0
7.961,41.19,0.3,0
7.992,41.26,0.33,0
8.024,41.32,0.29,0
8.054,41.4,0.17,0
8.078,41.55,0.04,0
8.1,41.58,-0.02,0
8.131,41.58,-0.02,0
8.177,41.57,-0.0,0
8.212,41.6,0.01,0
8.243,41.64,0.01,0
8.289,41.73,0.01,0
8.319,41.78,-0.0,0
8.353,41.86,-0.04,0
8.382,41.94,-0.04,0
8.415,41.94,0.04,0
8.443,41.9,0.27,0
8.479,41.99,0.84,0
8.507,42.1,2.12,0
8.523,42.22,4.57,0
8.577,42.21,8.36,0
8.6,42.17,13.27,0
8.631,42.16,18.83,0
8.699,42.05,24.65,0
8.725,41.95,30.35,0
8.757,41.85,35.39,0
8.787,41.76,39.22,0
8.817,41.54,41.75,0
8.849,41.34,43.43,0
8.88,41.39,44.61,0
8.912,41.58,44.98,0
8.943,41.74,43.76,0
8.975,41.9,40.57,0
9.006,42.18,35.76,0
9.035,42.47,29.95,0
9.116,42.57,23.47,0
9.145,42.61,16.54,0
9.176,42.65,9.92,0
9.207,42.7,4.76,0
9.223,42.5,1.76,0
9.254,42.3,0.61,0
9.286,42.1,0.33,0
9.317,41.88,0.2,0
9.349,41.63,0.04,0
9.38,41.42,-0.05,0
9.411,41.39,-0.05,0
9.442,41.43,0.02,0
9.489,41.45,0.14,0
9.52,41.48,0.32,0
9.552,41.55,0.51,0
9.583,41.61,0.64,0
9.618,41.65,0.68,0
9.647,41.69,0.68,0
9.68,42.0,0.65,0
9.708,42.34,0.56,0
9.739,42.65,0.36,0
9.775,42.9,0.12,0
9.801,43.18,-0.06,0
9.832,43.45,-0.08,0
9.89,43.71,0.05,0
9.911,43.95,0.12,0
9.942,44.22,-0.01,0
9.982,44.54,-0.25,0
10.003,44.65,-0.15,0
10.035,44.65,0.79,0
10.097,44.27,2.86,0
10.13,43.94,6.05,0
10.158,43.6,10.33,0
10.189,43.22,15.7,0
10.219,42.82,21.9,0
10.251,42.45,28.3,0
10.286,42.08,34.1,0
10.313,41.68,38.84,0
10.344,41.23,42.53,0
10.407,40.71,45.33,0
10.437,40.66,47.37,0
10.471,40.6,48.75,0
10.501,40.44,49.72,0
10.531,40.33,50.59,0
10.564,40.25,51.52,0
10.595,39.97,52.51,0
10.625,39.73,53.41,0
10.656,39.5,54.14,0
10.687,39.12,54.69,0
10.718,38.85,55.07,0
10.75,38.53,55.29,0
10.782,38.08,55.33,0
10.811,37.75,55.13,0
10.843,37.41,54.71,0
10.879,36.96,54.19,0
10.902,36.7,53.71,0
10.933,36.4,53.35,0
10.977,35.96,53.06,0
10.996,35.71,52.76,0
11.029,35.45,52.43,0
11.091,35.25,52.1,0
11.122,35.19,51.73,0
11.153,35.08,51.21,0
11.184,34.94,50.4,0
11.229,34.96,49.39,0
11.248,34.92,48.38,0
11.278,34.88,47.56,0
11.294,34.96,46.94,0
11.324,35.02,46.48,0
11.384,34.87,46.11,0
11.402,34.76,45.83,0
11.434,34.66,45.61,0
11.489,34.53,45.33,0
11.512,34.48,44.94,0
11.545,34.37,44.42,0
11.583,34.28,43.85,0
